mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line
62	52	313/2	343/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	553				77		
62	52	154	169	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	554						
62	52	155	170	1.5		1/4	1/4	Chord	3/4	1	2	3/8	1/4	3/2	555						
62	52	313/2	343/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	556						
62	52	154	169	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	557				78		
62	52	309/2	339/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	558				78		
62	52	155	170	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	559				78		
62	52	311/2	341/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	560				78		
62	52	156	171	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	561				78		
62	52	313/2	343/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	562						
63	53	157	172	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	563				77		
63	53	315/2	345/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	564				77		
63	53	158	173	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	565				77		
63	53	319/2	349/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	566						
63	53	157	172	0.0		0	0	Dynamic	3/4	1	2	0					p				
63	53	157	172	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	567	p					
63	53	315/2	345/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	568						
63	53	158	173	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	569						
63	53	159	174	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	570						
63	53	157	172	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	571				79		
63	53	315/2	345/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	572				79		
63	53	158	173	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	573				79		
63	53	317/2	347/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	574				79		
63	53	159	174	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	575				79		
63	53	319/2	349/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	576						
64	53		175	1.0	1	0	0	Chord	3/4	1	1	1/4	1/4	1	577				80		
64	53		176	0.5	1	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	578						
64	53		175	1.0	1	0	0	Chord	3/4	2	1	1/4	1/4	1	579				81		
64	53		176	0.5	1	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	580						
65	53	160	177	1.0	2	0	0	Chord	3/4	1	1	1/4	1/4	1	581						
65	53	162	179	0.75	2	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	582				82		
65	53	651/4	719/4	0.25	2	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	583						
65	53	160	177	1.0	2	0	0	Chord	3/4	2	1	1/4	1/4	1	584						
65	53	161	178	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	585						
66	54	163	180	0.0		0	0	Dynamic	3/4	1	1	0					p				
66	54	163	180	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	586	p			83		
66	54	165	182	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	587				83		
66	54	663/4	731/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	588						
66	54	164	181	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	589			articStaccatoAbove			
66	54	164	181	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	590			articStaccatoBelow			
67	55	166	183	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	591			articStaccatoBelow			
67	55	168	185	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	592				84		
67	55	675/4	743/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	593						
67	55	167	184	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	594			articStaccatoAbove			
67	55	167	184	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	595			articStaccatoBelow			
68	56	169	186	0.0		0	0	Spanner	3/4	1	1	0								2	
68	56	169	186	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	596	>			85	2	
68	56	171	188	0.0		1/2	1/2	Spanner	3/4	1	1	0							85		
68	56	171	188	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	597				85		
68	56	687/4	755/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	598						
68	56	170	187	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	599			articStaccatoAbove			
68	56	170	187	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	600			articStaccatoBelow			
69	57	172	189	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	601			articStaccatoBelow			
69	57	173	190	0.0		1/4	1/4	Dynamic	3/4	1	1	0					other-dynamics				
69	57	174	191	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	602				86		
69	57	699/4	767/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	603						
69	57	173	190	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	604			articStaccatoAbove			
69	57	174	191	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	605			articStaccatoAbove			
69	57	173	190	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	606			articStaccatoBelow			
69	57	174	191	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	607			articStaccatoBelow			
70	58	175	192	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	608			articStaccatoBelow			
70	58	177	194	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	609				87		
70	58	711/4	779/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	610						
70	58	176	193	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	611			articStaccatoAbove			
70	58	177	194	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	612			articStaccatoAbove			
70	58	176	193	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	613			articStaccatoBelow			
70	58	177	194	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	614			articStaccatoBelow			
71	59	178	195	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	615						
71	59	179	196	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	616						
71	59	719/4	787/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	617				88		
71	59	180	197	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	618				88		
71	59	723/4	791/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	619						
71	59	179	196	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	620			articStaccatoAbove			
71	59	179	196	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	621			articStaccatoBelow			
72	60	181	198	0.0		0	0	Dynamic	3/4	1	1	0					pp				
72	60	181	198	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	622	pp			89		
72	60	727/4	795/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	623				89		
72	60	182	199	0.75		1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	624				89		
72	60	731/4	799/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	625				89		
72	60	183	200	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	626				89		
72	60	735/4	803/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	627						
72	60	182	199	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	628			articStaccatoAbove			
72	60	183	200	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	629			articStaccatoAbove			
72	60	182	199	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	630			articStaccatoBelow			
72	60	183	200	1.0		1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	631			articStaccatoBelow			
73	61	184	201	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	632			articStaccatoBelow			
73	61	184	201	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	633			articStaccatoAbove			
73	61	184	201	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	634			articStaccatoBelow			
